Instance_Name,Dimension,Groups,Depots,Hybrid_Time,Hybrid_Dist,Gurobi_Time,Gurobi_Dist,Baseline_Time,Baseline_Dist
burma14_GVRP_Spatial,14,4,2,2.93,14.17,0.10,14.17,,
ulysses16_GVRP_Spatial,16,4,2,3.12,41.65,0.10,41.65,,
ulysses22_GVRP_Spatial,22,4,2,4.30,41.65,0.13,41.65,,
bayg29_GVRP_Spatial,29,4,2,7.53,2676.58,0.51,2676.58,,
bays29_GVRP_Spatial,29,4,2,7.57,2676.58,0.50,2676.58,,
dantzig42_GVRP_Spatial,42,9,2,19.46,265.53,999.88,265.53,,
att48_GVRP_Spatial,48,13,2,24.19,13176.11,7200.13,13176.11,,
eil51_GVRP_Spatial,51,9,2,157.94,123.62,7200.15,123.62,,
berlin52_GVRP_Spatial,52,8,2,38.15,2840.51,3604.49,2840.51,,
st70_GVRP_Spatial,70,16,2,231.10,233.80,7200.50,235.90,,
eil76_GVRP_Spatial,76,16,2,87.09,150.95,7200.09,150.95,,
pr76_GVRP_Spatial,76,15,2,66.83,31875.73,7200.11,31902.65,,
gr96_GVRP_Spatial,96,22,2,721.33,211.92,7200.51,212.31,,
rat99_GVRP_Spatial,99,16,2,134.95,286.05,7200.44,286.05,,
kroA100_GVRP_Spatial,100,16,4,186.16,4366.51,7200.51,4366.51,,
kroB100_GVRP_Spatial,100,16,4,194.24,4344.86,7201.02,4344.86,,
kroC100_GVRP_Spatial,100,16,4,177.99,4398.88,7200.66,4398.88,,
kroD100_GVRP_Spatial,100,16,4,275.41,4408.49,7200.75,4408.49,,
kroE100_GVRP_Spatial,100,16,4,231.75,4933.78,7200.38,4933.78,,
rd100_GVRP_Spatial,100,16,4,157.05,1476.05,7200.37,1476.05,,
eil101_GVRP_Spatial,101,16,4,182.41,97.27,7200.40,97.27,,
lin105_GVRP_Spatial,105,20,4,1008.10,3687.90,7200.71,3758.03,,
pr107_GVRP_Spatial,107,18,4,2787.68,8285.79,7200.41,8285.79,,
gr120_GVRP_Spatial,120,28,4,599.69,335.29,7201.05,335.29,,
ch150_GVRP_Spatial,150,25,4,2713.87,1106.94,,,656.40,1106.94
kroA150_GVRP_Spatial,150,25,4,892.07,5254.59,,,847.25,5299.67
kroB150_GVRP_Spatial,150,25,4,2072.84,5030.30,,,882.45,5030.30
pr152_GVRP_Spatial,152,25,4,1646.82,21571.14,,,1423.52,21571.14
u159_GVRP_Spatial,159,31,4,570.58,7752.71,,,511.51,7752.71
rat195_GVRP_Spatial,195,36,4,697.08,360.79,,,1214.89,360.79
d198_GVRP_Spatial,198,35,4,5634.13,5466.69,,,4521.30,5633.03
kroA200_GVRP_Spatial,200,35,4,5718.78,5317.04,,,3477.94,5327.02
kroB200_GVRP_Spatial,200,36,4,2877.48,5213.80,,,7200.17,5213.80
gr202_GVRP_Spatial,202,37,4,7200.38,130.59,,,7200.29,130.59
ts225_GVRP_Spatial,225,55,4,1193.54,23397.35,,,1256.61,23473.24
tsp225_GVRP_Spatial,225,55,4,984.13,668.78,,,791.78,668.78
pr226_GVRP_Spatial,226,40,4,4883.96,23067.45,,,900.16,23067.45
gr229_GVRP_Spatial,229,39,4,2200.35,423.73,,,1686.49,423.73
gil262_GVRP_Spatial,262,49,4,2442.54,359.01,,,913.76,359.01
pr264_GVRP_Spatial,264,47,4,1765.29,9597.85,,,1387.60,9597.85
a280_GVRP_Spatial,280,47,4,600.01,407.76,,,807.48,415.83
pr299_GVRP_Spatial,299,69,4,2317.41,9482.61,,,1606.89,9482.61
lin318_GVRP_Spatial,318,79,4,7200.03,8047.53,,,7200.19,8639.87
linhp318_GVRP_Spatial,318,79,4,7200.03,8047.53,,,7200.21,8115.79
rd400_GVRP_Spatial,400,99,4,6932.26,2218.83,,,7200.32,2221.56
fl417_GVRP_Spatial,417,75,4,7200.21,3262.95,,,7200.17,3518.66
gr431_GVRP_Spatial,431,71,4,7200.14,481.55,,,5810.66,481.55
pr439_GVRP_Spatial,439,78,4,7200.18,21841.38,,,7200.43,22435.25
pcb442_GVRP_Spatial,442,79,4,4030.58,6564.01,,,1568.39,6649.89
d493_GVRP_Spatial,493,86,4,4756.26,7195.15,,,3468.22,7261.70
att532_GVRP_Spatial,532,90,6,18.45,12470.01,,,4350.43,11677.97
ali535_GVRP_Spatial,535,100,6,7200.31,434.03,,,7200.03,436.00
pa561_GVRP_Spatial,561,101,6,3765.43,1518.40,,,4204.16,1526.58
